[01] speaker_0 | 0.10-1.76s     | 球。
[02] speaker_1 | 1.94-3.20s     | 气球啊。
[03] speaker_2 | 3.26-7.26s     | 你的气球在那边。
[04] speaker_0 | 9.60-10.20s    | 哎呀！
[05] speaker_0 | 10.20-11.04s   | 没有。
[06] speaker_2 | 11.06-11.82s   | 没有啊？
[07] speaker_1 | 11.86-15.36s   | 不要玩气球了啊！
[08] speaker_1 | 15.36-18.64s   | 等一下你cleanup先，cleanup。
[09] speaker_2 | 18.68-22.36s   | 你把东西收起来好吗？
[10] speaker_0 | 22.42-23.34s   | Cover
[11] speaker_2 | 23.34-27.55s   | 嗯...
[12] speaker_0 | 28.18-29.14s   | 这开不开？
[13] speaker_2 | 29.70-31.85s   | 嗯，可以。
[14] speaker_0 | 31.90-32.60s   | Canorcannot?
[15] speaker_1 | 32.66-33.66s   | Cannot.
[16] speaker_0 | 33.70-39.36s   | Canornot？
[17] speaker_1 | 41.90-43.12s   | Can。
[18] speaker_0 | 43.34-43.35s   | Cannot。
[19] speaker_2 | 43.46-43.76s   | 哇！
[20] speaker_2 | 43.76-47.66s   | 阿雅在收拾啦，你真棒！
[21] speaker_1 | 48.12-58.80s   | 还有那边，放进去。OK。
[22] speaker_1 | 64.10-64.34s   | 哎！
[23] speaker_1 | 69.06-81.99s   | 谢谢！
[24] speaker_1 | 81.99-89.80s   | 谢谢你！
[25] speaker_1 | 95.42-101.60s  | 要帮我妈妈当你的妈妈吧。
[26] speaker_2 | 111.00-115.55s | 我们一起收吧，妈妈还有一個。
[27] speaker_0 | 115.55-116.43s | 他住了。
[28] speaker_2 | 116.54-118.32s | 他住了啊！
[29] speaker_0 | 119.12-121.46s | 妈妈你看好不好。
[30] speaker_2 | 121.50-124.38s | 嗯，大致就不错了哈！
[31] speaker_0 | 124.40-126.58s | 嗯，好了吗？
[32] speaker_2 | 126.98-128.50s | 嗯，给你包好啦。
[33] speaker_1 | 128.58-130.32s | 好了。
[34] speaker_0 | 130.96-135.46s | 我要气球。
[35] speaker_2 | 135.62-136.71s | 你要气球啊？
[36] speaker_2 | 136.71-139.60s | 气球在哪里啊？
