[01] speaker_0 | 0.10-1.76s     | 球 。
[02] speaker_1 | 1.94-3.20s     | 气 球 啊 。
[03] speaker_2 | 3.26-7.26s     | 你 的 气 球 在 那 边 。
[04] speaker_0 | 9.60-10.16s    | 哎 呀 ！
[05] speaker_0 | 10.16-11.04s   | 没 有 。
[06] speaker_2 | 11.06-11.84s   | 没 有 啊 ？
[07] speaker_1 | 11.86-15.36s   | 不 要 玩 气 球 了 啊 ！
[08] speaker_1 | 15.36-18.64s   | 等 一 下 你 clean up 先 ，clean up。
[09] speaker_2 | 18.70-22.36s   | 你 把 东 西 收 起 来 好 吗 ？
[10] speaker_0 | 22.42-23.28s   | Cover。
[11] speaker_2 | 23.34-26.54s   | 嗯 。
[12] speaker_0 | 27.64-29.24s   | 这 开 不 开 ？
[13] speaker_2 | 31.06-31.07s   | 可 以 。
[14] speaker_0 | 31.90-32.60s   | Can or cannot?
[15] speaker_1 | 32.66-33.66s   | Cannot。
[16] speaker_0 | 33.70-38.67s   | Can or not can？
[17] speaker_0 | 38.67-40.86s   | 不 能 。
[18] speaker_2 | 43.46-43.76s   | 哇 ！
[19] speaker_2 | 43.76-47.66s   | 阿 雅 在 收 拾 啦 ， 你 真 棒 ！
[20] speaker_1 | 48.12-55.04s   | 还 有 那 边 ， 放 进 去 。
[21] speaker_1 | 56.40-59.20s   | OK。
[22] speaker_1 | 64.10-64.34s   | 哎 ！
[23] speaker_1 | 69.50-81.99s   | 谢 谢 ！
[24] speaker_1 | 81.99-87.92s   | 这 些 。
[25] speaker_0 | 97.18-97.51s   | 妈 妈 帮 我 。
[26] speaker_2 | 97.51-99.00s   | 妈 妈 帮 你 的 。
[27] speaker_0 | 99.02-99.33s   | 哦 ！
[28] speaker_2 | 99.46-99.76s   | 哇 ！
[29] speaker_2 | 99.76-102.22s  | 你 这 个 做 得 很 好 啦 ！
[30] speaker_2 | 102.22-104.64s | 你 最 后 一 个 是 不 是 啊 ？
[31] speaker_1 | 104.74-105.86s | 掉 啦 ？
[32] speaker_2 | 106.96-106.98s | 没 有 没 有 。
[33] speaker_2 | 106.98-110.96s | 来 给 妈 妈 。
[34] speaker_2 | 111.02-112.98s | 我 们 一 起 收 吧 ！
[35] speaker_2 | 112.98-113.92s | 好 吗 ？
[36] speaker_0 | 114.04-116.42s | 妈 妈 ， 还 有 一 个 树 呢 ？
[37] speaker_2 | 116.66-118.42s | 哦 树 啊 。
[38] speaker_0 | 119.10-121.50s | 妈 妈 您 看 好 了 。
[39] speaker_2 | 122.30-124.38s | 大 树 做 不 错 了 哈 ？
[40] speaker_0 | 124.40-126.80s | 嗯 ， 妈 妈 。
[41] speaker_2 | 127.00-128.50s | 给 你 帮 好 了 。
[42] speaker_1 | 128.58-129.03s | 好 了 。
[43] speaker_0 | 130.94-135.46s | 我 的 气 球 。
[44] speaker_2 | 135.62-136.71s | 你 要 气 球 啊 ？
[45] speaker_0 | 136.71-136.71s | 嗯 。
[46] speaker_2 | 136.71-139.60s | 你 的 气 球 在 哪 里 啊 ？
